Name,NOC,Discipline,Gender,Age,BirthDate,EventDate,Venue
KINDERIS JUSTINAS,lithuania,Modern Pentathlon,F,21,1991-03-15,2021-07-30,Tokyo Stadium
KINDLER ANTONI PAWEL,  Canada  ,Hockey,F,24,1987-04-20,2021-07-23,Ariake Arena
  kindzerska iryna  ,azerbaijan,Judo,F,19,1985-11-21,2021-07-26,Musashino Forest
  king david  ,  Great Britain  ,Athletics,M,32,1987-01-17,2021-07-31,Musashino Forest
  king joel  ,  Australia  ,Football,F,28,1994-04-04,2021-08-01,Musashino Forest
KING JULIA,new zealand,Hockey,F,22,2005-08-11,2021-08-03,Tokyo Stadium
  king lilly  ,  United States of America  ,Swimming,F,28,1999-06-21,2021-08-01,Musashino Forest
KING SARAH,switzerland,Athletics,M,18,1985-04-15,2021-08-02,Ariake Arena
KINGMA MAYA,netherlands,Triathlon,M,30,1985-09-11,2021-07-31,Olympic Aquatics Centre
  kingue matam bernardin  ,france,Weightlifting,M,18,1994-10-20,2021-08-05,Ariake Arena
  kinnunen jarkko  ,  Finland  ,Athletics,M,20,1997-11-02,2021-08-03,Ariake Arena
KINONO PHILLIP,marshall islands,Swimming,M,28,1988-01-12,2021-07-26,Ariake Arena
KINSELLA ALICE,great britain,Artistic Gymnastics,M,20,1987-03-30,2021-08-03,Musashino Forest
KINSEY ERIKA,sweden,Athletics,M,33,1985-06-11,2021-07-24,Ariake Arena
  kinsinger etienne  ,germany,Wrestling,F,18,1997-05-02,2021-07-23,Olympic Aquatics Centre
  kinsler ian  ,  Israel  ,Baseball/Softball,M,22,1992-03-06,2021-07-26,Olympic Aquatics Centre
  kipchoge eliud  ,kenya,Athletics,F,30,2000-08-22,2021-07-29,Olympic Aquatics Centre
KIPLIMO JACOB,uganda,Athletics,M,30,1988-01-05,2021-07-24,Olympic Aquatics Centre
  kiprono sharon chepchumba  ,  Kenya  ,Volleyball,F,28,1992-01-23,2021-07-24,Musashino Forest
  kiprotich stephen  ,uganda,Athletics,F,19,2003-07-25,2021-08-01,Musashino Forest
KIPRUTO AMOS,  Kenya  ,Athletics,M,19,1989-04-12,2021-07-27,Olympic Aquatics Centre
  kipsang abel  ,kenya,Athletics,M,27,1995-09-15,2021-07-25,Ariake Arena
  kipyego sally  ,united states of america,Athletics,M,25,1993-09-12,2021-07-23,Tokyo Stadium
KIPYEGON FAITH,  Kenya  ,Athletics,M,23,1987-04-07,2021-07-24,Musashino Forest
KIRBY FRAN,  Great Britain  ,Football,F,27,1998-10-28,2021-07-28,Tokyo Stadium
KIRCHMANN LEAH,  Canada  ,Cycling Road,F,29,2004-04-19,2021-07-27,Musashino Forest
KIRIAKE TERUKO,japan,Canoe Sprint,M,27,2000-06-14,2021-08-06,Tokyo Stadium
KIRISHITA YOSHIKI,  Japan  ,Hockey,M,30,1990-01-04,2021-07-27,Tokyo Stadium
  kirkham shaun  ,  New Zealand  ,Rowing,F,20,2002-01-07,2021-07-29,Ariake Arena
KIRKPATRICK JAMES ALEXANDER PAGET,canada,Hockey,F,32,2002-01-18,2021-08-04,Olympic Aquatics Centre
  kirpichnikova anastasiia  ,roc,Marathon Swimming,F,32,1990-02-26,2021-07-25,Tokyo Stadium
  kirpu erika  ,estonia,Fencing,F,28,2002-04-20,2021-08-01,Musashino Forest
KIRSANOVA VIKTORIA,  ROC  ,Cycling Mountain Bike,F,18,1987-03-29,2021-08-06,Musashino Forest
  kirshe kristi  ,united states of america,Rugby Sevens,M,28,1989-08-12,2021-07-28,Tokyo Stadium
KIRUI PURITY,kenya,Athletics,M,33,2003-04-09,2021-08-03,Tokyo Stadium
  kiryakova stefani  ,  Bulgaria  ,Rhythmic Gymnastics,M,30,1989-05-26,2021-08-02,Olympic Aquatics Centre
  kiryu yoshihide  ,japan,Athletics,M,27,1994-01-17,2021-07-30,Tokyo Stadium
KISFALUDY ANETT,  Hungary  ,Handball,M,24,1995-05-11,2021-07-23,Olympic Aquatics Centre
  kishi daiki  ,  Japan  ,Trampoline Gymnastics,F,32,2004-05-22,2021-08-03,Musashino Forest
KISHIMOTO NIINA,japan,Triathlon,M,27,1993-03-28,2021-08-06,Tokyo Stadium
  kisil yuri  ,canada,Swimming,M,19,1991-11-01,2021-08-02,Olympic Aquatics Centre
  kiss nikoletta  ,  Hungary  ,Handball,M,22,1991-11-15,2021-08-01,Tokyo Stadium
  kissa stephen  ,uganda,Athletics,M,30,1985-09-19,2021-08-06,Musashino Forest
KISTOHURRY SAMUEL,  France  ,Boxing,M,26,1996-01-24,2021-08-01,Ariake Arena
  kit kristen  ,  Canada  ,Rowing,F,30,1986-11-19,2021-08-04,Ariake Arena
KITA SUMIRE,japan,Rhythmic Gymnastics,F,30,2004-07-18,2021-07-30,Tokyo Stadium
  kitaguchi haruka  ,  Japan  ,Athletics,M,34,1997-03-18,2021-08-05,Musashino Forest
KITAHARA HIROYUKI,japan,Equestrian,F,27,1990-11-14,2021-08-05,Olympic Aquatics Centre
  kitajima ryuzo  ,japan,Equestrian,M,24,1987-01-01,2021-07-30,Ariake Arena
KITAMURA NANAMI,japan,Football,F,25,1995-10-15,2021-08-07,Olympic Aquatics Centre
KITAZATO KENJI,japan,Hockey,M,25,1989-12-02,2021-08-02,Olympic Aquatics Centre
KITAZONO TAKERU,  Japan  ,Artistic Gymnastics,M,19,1994-12-14,2021-07-28,Musashino Forest
KITITHARAKUL JONGKOLPHAN,  Thailand  ,Badminton,M,22,1987-07-12,2021-07-24,Musashino Forest
KITTEL PATRIK,sweden,Equestrian,M,26,1985-11-02,2021-07-28,Musashino Forest
  kitts wesley brian  ,  United States of America  ,Weightlifting,M,30,2004-06-08,2021-08-01,Tokyo Stadium
KITWANITSATHIAN CHUTIKAN,  Thailand  ,Cycling BMX Racing,F,32,1999-10-09,2021-07-25,Musashino Forest
  kivioja kaidi  ,  Estonia  ,Triathlon,M,21,1998-04-15,2021-07-28,Tokyo Stadium
KIVLEHAN PATRICK,united states of america,Baseball/Softball,M,28,1996-02-14,2021-08-04,Olympic Aquatics Centre
  kiyani chandeh nahid  ,islamic republic of iran,Taekwondo,M,34,1998-12-14,2021-08-08,Ariake Arena
  kiyeng hyvin  ,kenya,Athletics,M,25,1987-07-30,2021-07-29,Ariake Arena
  kiyohara nayu  ,  Japan  ,Baseball/Softball,F,34,1998-07-17,2021-07-24,Tokyo Stadium
KIYUNA RYO,japan,Karate,F,20,1997-09-17,2021-08-02,Olympic Aquatics Centre
  kjaer emil  ,  Denmark  ,Athletics,M,30,1993-11-11,2021-07-24,Musashino Forest
  klamer rachel  ,  Netherlands  ,Triathlon,F,31,2003-03-01,2021-07-29,Olympic Aquatics Centre
KLAMMERT DAVID,czech republic,Judo,M,26,1992-02-19,2021-08-02,Musashino Forest
  klaver lieke  ,netherlands,Athletics,F,28,2001-03-20,2021-08-05,Ariake Arena
KLECKER JOE,  United States of America  ,Athletics,F,22,2000-01-19,2021-07-24,Olympic Aquatics Centre
  kleibrink benjamin  ,germany,Fencing,F,21,1997-09-11,2021-07-23,Olympic Aquatics Centre
KLEIN HANNA,  Germany  ,Athletics,F,20,1989-01-09,2021-07-24,Musashino Forest
KLEIN LISA,  Germany  ,Cycling Track,F,20,1999-07-25,2021-07-26,Musashino Forest
KLEIN LUIS,germany,Fencing,M,27,1995-05-17,2021-08-01,Ariake Arena
KLEIN LUKAS,slovakia,Tennis,M,19,1996-09-16,2021-07-27,Musashino Forest
KLESHCHENKO EVGENY,  ROC  ,Cycling BMX Racing,F,29,1985-11-27,2021-07-29,Ariake Arena
  klevanovich elizaveta  ,  ROC  ,Swimming,M,33,1992-04-28,2021-08-02,Olympic Aquatics Centre
KLIKOVAC ANDREA,  Montenegro  ,Handball,F,28,2005-06-28,2021-08-04,Olympic Aquatics Centre
  klimkait jessica  ,canada,Judo,M,20,1996-11-22,2021-07-27,Musashino Forest
  klimova diana  ,  ROC  ,Cycling Track,M,25,2001-01-25,2021-08-04,Tokyo Stadium
  klimovich tatsiana  ,belarus,Rowing,F,32,2000-12-26,2021-07-29,Olympic Aquatics Centre
  klineman alix  ,united states of america,Beach Volleyball,M,19,1985-02-22,2021-07-25,Olympic Aquatics Centre
  klingler petra  ,  Switzerland  ,Sport Climbing,F,32,2003-03-30,2021-08-06,Musashino Forest
KLISHINA DARYA,  ROC  ,Athletics,F,27,1990-04-20,2021-07-27,Ariake Arena
  kliuka egor  ,roc,Volleyball,M,18,2000-09-27,2021-08-01,Musashino Forest
  kloster line  ,norway,Athletics,F,19,1995-08-02,2021-07-27,Musashino Forest
KLOSTERHALFEN KONSTANZE,  Germany  ,Athletics,M,31,1997-12-26,2021-08-01,Ariake Arena
KLUGE ROGER,  Germany  ,Cycling Track,F,25,2000-11-03,2021-07-23,Musashino Forest
  klujber katrin gitta  ,  Hungary  ,Handball,M,23,1992-08-06,2021-07-24,Tokyo Stadium
KLUVER FERREIRA FELIPE,uruguay,Rowing,F,19,2000-02-10,2021-07-28,Ariake Arena
KLYMETS IRYNA,  Ukraine  ,Athletics,F,28,1992-10-04,2021-07-25,Olympic Aquatics Centre
  knab ruben  ,netherlands,Rowing,F,33,1992-07-15,2021-07-24,Olympic Aquatics Centre
KNABL ALOIS,austria,Triathlon,F,29,1992-10-31,2021-07-27,Tokyo Stadium
  knapik-miazga renata  ,poland,Fencing,F,26,2003-01-28,2021-07-27,Tokyo Stadium
  kneisky morgan  ,  France  ,Cycling Track,F,28,1995-08-26,2021-07-23,Tokyo Stadium
  knewstubb andrew  ,  New Zealand  ,Rugby Sevens,F,22,1986-02-03,2021-08-04,Musashino Forest
  knibb taylor  ,united states of america,Triathlon,F,19,1996-09-14,2021-08-05,Olympic Aquatics Centre
KNIGHT JESSIE,  Great Britain  ,Athletics,F,33,2001-04-28,2021-08-06,Ariake Arena
KNIGHT JOSIE,great britain,Cycling Track,M,18,1989-06-06,2021-07-26,Ariake Arena
  knight justyn  ,  Canada  ,Athletics,F,32,1990-07-19,2021-08-07,Ariake Arena
KNIGHT-WISDOM YONA,  Jamaica  ,Diving,F,24,1997-06-21,2021-07-27,Olympic Aquatics Centre
  knighton erriyon  ,united states of america,Athletics,F,25,1985-04-30,2021-08-07,Ariake Arena
  knipping arjan  ,  Netherlands  ,Swimming,M,27,1986-08-31,2021-07-25,Olympic Aquatics Centre
KNOLL ANABEL,  Germany  ,Triathlon,F,34,1999-06-27,2021-07-27,Olympic Aquatics Centre
  knorr juri  ,  Germany  ,Handball,F,29,1994-05-28,2021-07-27,Olympic Aquatics Centre
  knott kristina marie  ,philippines,Athletics,F,27,1995-03-04,2021-07-26,Ariake Arena
KNOX BRONWEN,  Australia  ,Water Polo,F,20,1998-09-07,2021-08-07,Ariake Arena
  knox finlay  ,canada,Swimming,M,24,1992-05-16,2021-08-01,Musashino Forest
KNUPPEL ARTAGAVEYTIA DOMINIQUE,  Uruguay  ,Sailing,F,24,1996-05-23,2021-07-30,Olympic Aquatics Centre
  knystautas mantas  ,lithuania,Wrestling,F,25,1988-05-27,2021-07-28,Olympic Aquatics Centre
  ko lydia  ,new zealand,Golf,F,29,2003-06-18,2021-07-23,Olympic Aquatics Centre
  ko youngpyo  ,  Republic of Korea  ,Baseball/Softball,M,21,2001-07-27,2021-08-02,Tokyo Stadium
  koala marthe  ,  Burkina Faso  ,Athletics,M,22,1988-06-23,2021-07-29,Olympic Aquatics Centre
KOBATA MAKO,japan,Volleyball,F,22,1991-04-06,2021-07-24,Musashino Forest
  kobayashi kai  ,japan,Athletics,F,30,1991-08-06,2021-08-01,Musashino Forest
  kobayashi yuka  ,  Japan  ,Cycling Track,F,19,2001-10-25,2021-07-24,Musashino Forest
KOBLOVA VALERIA,  ROC  ,Wrestling,F,18,2000-03-27,2021-08-02,Ariake Arena
  kobori waka  ,japan,Swimming,F,27,1997-01-28,2021-07-28,Ariake Arena
  kobrich kristel  ,chile,Swimming,M,21,1988-09-25,2021-08-04,Tokyo Stadium
  kobus-zawojska agnieszka  ,poland,Rowing,F,18,1992-02-29,2021-07-26,Olympic Aquatics Centre
  kobzar igor  ,roc,Volleyball,F,30,1990-05-13,2021-07-24,Musashino Forest
KOCH MARC,germany,Athletics,F,23,2000-02-14,2021-08-01,Musashino Forest
KOCH MARCO,  Germany  ,Swimming,M,30,1990-11-30,2021-07-30,Ariake Arena
KOCH SOPHIE ULRIKE,germany,Canoe Sprint,M,26,1997-11-21,2021-07-26,Musashino Forest
KOCHANOWSKI JAKUB,poland,Volleyball,M,28,1987-08-11,2021-08-05,Olympic Aquatics Centre
  kocher fabienne  ,switzerland,Judo,M,33,1998-01-27,2021-08-02,Tokyo Stadium
KOCHESOK SUSANA,roc,Trampoline Gymnastics,M,29,1997-08-25,2021-07-30,Musashino Forest
  kochhann raquel  ,brazil,Rugby Sevens,M,33,1986-03-11,2021-07-25,Olympic Aquatics Centre
KOCHMAN LI,  Israel  ,Judo,F,25,1989-08-23,2021-08-02,Ariake Arena
KODAMA MEI,japan,Athletics,M,20,2004-10-28,2021-07-27,Tokyo Stadium
KODIROVA RAYKHONA,  Uzbekistan  ,Boxing,M,27,1993-08-09,2021-08-03,Musashino Forest
KODISANG KOBAMELO,south africa,Football,M,27,1994-04-08,2021-07-23,Tokyo Stadium
KOECH JOHN,bahrain,Athletics,M,28,1998-01-29,2021-07-27,Olympic Aquatics Centre
  koechlin thomas  ,  Switzerland  ,Canoe Slalom,M,33,1996-08-22,2021-08-05,Tokyo Stadium
  koenders joanne  ,  Netherlands  ,Water Polo,M,24,1994-10-17,2021-07-27,Ariake Arena
KOEPFER DOMINIK,germany,Tennis,M,33,2004-11-28,2021-08-04,Musashino Forest
KOGA SARINA,  Japan  ,Volleyball,F,34,1986-03-19,2021-07-31,Tokyo Stadium
  koga yuta  ,  Japan  ,Athletics,M,25,2002-04-21,2021-07-24,Ariake Arena
KOHLBACHER JANNIK,  Germany  ,Handball,F,34,1990-01-08,2021-07-31,Tokyo Stadium
KOHLER KARA,  United States of America  ,Rowing,F,32,1985-02-17,2021-08-06,Musashino Forest
  kohler sarah  ,  Germany  ,Swimming,M,29,1988-03-12,2021-08-03,Tokyo Stadium
KOHLHOFF PAUL,germany,Sailing,M,32,1991-04-26,2021-07-28,Musashino Forest
  kohlschreiber philipp  ,  Germany  ,Tennis,M,21,2003-01-09,2021-08-02,Tokyo Stadium
KOIDE MIFUYU,  Japan  ,Rugby Sevens,M,31,1992-04-20,2021-08-07,Olympic Aquatics Centre
KOIDE MIKU,japan,Water Polo,F,26,2001-08-05,2021-07-26,Ariake Arena
  koike yuki  ,japan,Athletics,M,24,1990-02-27,2021-07-23,Tokyo Stadium
  koizumi ibuki  ,japan,Sailing,M,29,1987-04-06,2021-08-03,Musashino Forest
KOJIC FRANE TOMISLAV,croatia,Table Tennis,M,23,1995-08-05,2021-08-02,Tokyo Stadium
KOK TEVIN MICHAEL,south africa,Hockey,F,21,1985-03-24,2021-07-30,Olympic Aquatics Centre
  kokauri ushangi  ,azerbaijan,Judo,M,34,1986-06-22,2021-07-25,Musashino Forest
KOKHAN MYKHAYLO,  Ukraine  ,Athletics,F,31,2000-07-09,2021-07-29,Olympic Aquatics Centre
KOKKALANIS BYRON,greece,Sailing,M,24,2002-04-20,2021-07-26,Musashino Forest
  kokumai sakura  ,  United States of America  ,Karate,M,27,1994-09-26,2021-08-05,Musashino Forest
  kolak sara  ,  Croatia  ,Athletics,F,27,1997-04-30,2021-08-07,Tokyo Stadium
  kolasinac asmir  ,  Serbia  ,Athletics,F,22,1988-06-10,2021-08-01,Musashino Forest
  kolesnichenko svetlana  ,roc,Artistic Swimming,F,22,2002-07-25,2021-07-31,Musashino Forest
KOLESNIKOV KLIMENT,  ROC  ,Swimming,M,29,1996-03-31,2021-07-27,Ariake Arena
  koliadenko iryna  ,  Ukraine  ,Wrestling,F,29,2005-04-14,2021-08-04,Olympic Aquatics Centre
  koljonen kalle  ,  Finland  ,Badminton,M,20,1996-02-11,2021-08-05,Olympic Aquatics Centre
KOLO MUANI RANDAL,france,Football,M,27,1989-06-14,2021-07-27,Olympic Aquatics Centre
KOLOBOVA VIOLETTA,  ROC  ,Fencing,M,32,1992-08-16,2021-08-06,Olympic Aquatics Centre
  kolodiy oleg  ,ukraine,Diving,M,20,1985-09-26,2021-08-06,Olympic Aquatics Centre
KOLODZINSKI PAWEL,poland,Sailing,F,22,1996-04-24,2021-07-23,Tokyo Stadium
  kolomvos christodoulos  ,  Greece  ,Water Polo,F,30,1987-08-28,2021-08-02,Ariake Arena
  kolothum thodi irfan  ,  India  ,Athletics,M,22,1997-08-12,2021-07-26,Musashino Forest
KOLOZSVARY MARK,united states of america,Baseball/Softball,M,31,1986-07-10,2021-08-05,Ariake Arena
HMANGTE CHUNGNEIJANG MERY KOM,  India  ,Boxing,F,32,2003-07-20,2021-08-06,Olympic Aquatics Centre
KOMINAMI TAKUTO,japan,Athletics,M,30,1993-07-30,2021-07-30,Tokyo Stadium
  komissarov sergei  ,  ROC  ,Sailing,F,23,1989-04-14,2021-08-02,Tokyo Stadium
  konanykhina anna  ,roc,Diving,M,23,1985-02-25,2021-07-24,Musashino Forest
  kondirolli olt  ,kosovo,Swimming,F,26,1996-10-02,2021-07-29,Musashino Forest
KONDO MAHARU,  Japan  ,Handball,F,21,1986-08-23,2021-07-28,Olympic Aquatics Centre
KONDO YOSHIDA AI,  Japan  ,Sailing,M,29,1995-12-23,2021-08-04,Musashino Forest
  kondoh kensuke  ,japan,Baseball/Softball,F,26,1987-01-17,2021-07-25,Musashino Forest
  kondratev ilya  ,  ROC  ,Rowing,M,26,1986-05-12,2021-08-08,Musashino Forest
KONDRICZ KATA,  Hungary  ,Fencing,M,18,1991-01-21,2021-08-02,Ariake Arena
  kong heeyong  ,republic of korea,Badminton,F,33,1990-11-02,2021-07-23,Musashino Forest
KONG MAN WAI VIVIAN,"  Hong Kong, China  ",Fencing,F,23,1988-04-03,2021-07-24,Ariake Arena
  konieczek alicja  ,poland,Athletics,F,26,1994-09-10,2021-07-28,Musashino Forest
KONIECZEK ANETA,  Poland  ,Athletics,F,33,1987-07-06,2021-07-26,Musashino Forest
KONING JOSINE,netherlands,Hockey,F,19,1994-12-28,2021-07-24,Olympic Aquatics Centre
KONISHI ANNA,japan,Swimming,F,30,1997-06-29,2021-08-03,Olympic Aquatics Centre
  konnai mitsunori  ,japan,Weightlifting,F,26,1998-07-15,2021-07-31,Musashino Forest
  kononenko valeriya  ,ukraine,Cycling Road,M,29,2005-10-01,2021-07-26,Olympic Aquatics Centre
  konotop kamila  ,  Ukraine  ,Weightlifting,F,23,1993-04-16,2021-08-05,Olympic Aquatics Centre
  konrad patrick  ,austria,Cycling Road,M,21,1998-02-24,2021-07-30,Olympic Aquatics Centre
  kontaveit anett  ,estonia,Tennis,F,26,1985-02-08,2021-07-28,Ariake Arena
  kontides pavlos  ,  Cyprus  ,Sailing,M,29,1987-10-30,2021-07-24,Ariake Arena
  koolen sanne anne leonie  ,netherlands,Hockey,F,32,2003-10-31,2021-08-07,Tokyo Stadium
KOOLHAAS ILSE,netherlands,Water Polo,F,26,1996-04-24,2021-07-29,Tokyo Stadium
  koolhof wesley  ,  Netherlands  ,Tennis,F,20,1998-07-02,2021-07-27,Ariake Arena
  kop lize  ,netherlands,Football,F,22,2003-08-12,2021-08-04,Ariake Arena
KOPASZ BALINT,  Hungary  ,Canoe Sprint,F,34,2005-03-25,2021-07-28,Tokyo Stadium
KOPECKY LOTTE,belgium,Cycling Road,F,21,1994-06-24,2021-07-26,Musashino Forest
  kopecky lotte  ,belgium,Cycling Track,M,22,1997-06-23,2021-07-29,Olympic Aquatics Centre
  kopp leo  ,germany,Athletics,M,23,2005-02-22,2021-08-01,Olympic Aquatics Centre
KOPPELAAR RUTGER,  Netherlands  ,Athletics,F,21,1997-03-06,2021-08-01,Musashino Forest
  koppu harukiirario  ,japan,Water Polo,F,22,1994-10-23,2021-07-31,Musashino Forest
KOPRON MALWINA,poland,Athletics,M,21,2005-08-25,2021-08-07,Olympic Aquatics Centre
  kora salome  ,switzerland,Athletics,F,19,2005-03-04,2021-07-25,Musashino Forest
KORAKAKI ANNA,  Greece  ,Shooting,M,25,1992-02-25,2021-08-02,Tokyo Stadium
KORBAJ BARRERA NALEK,  Venezuela  ,Boxing,F,27,1989-10-14,2021-08-06,Tokyo Stadium
  korda jessica  ,united states of america,Golf,M,31,1995-01-02,2021-07-25,Musashino Forest
KORDA NELLY,united states of america,Golf,M,24,1990-09-30,2021-07-30,Ariake Arena
KORETZKY VICTOR,france,Cycling Mountain Bike,M,18,1998-12-12,2021-07-25,Musashino Forest
  korir leonard  ,united states of america,Athletics,M,20,2002-12-05,2021-08-08,Tokyo Stadium
  korkmaz salih  ,turkey,Athletics,F,26,1990-04-02,2021-07-26,Musashino Forest
KOROBEYNIKOVA LARISA,roc,Fencing,F,21,1994-08-31,2021-08-08,Tokyo Stadium
  koroknai mate  ,  Hungary  ,Athletics,M,28,1997-11-30,2021-08-01,Tokyo Stadium
KOROLEVA IRINA,roc,Volleyball,M,34,1989-10-18,2021-07-30,Olympic Aquatics Centre
  korostylov pavlo  ,  Ukraine  ,Shooting,M,22,1990-04-17,2021-08-03,Musashino Forest
KORPASI BALINT,hungary,Wrestling,F,29,1987-01-14,2021-08-04,Ariake Arena
  korrel michael  ,  Netherlands  ,Judo,F,19,2005-06-09,2021-08-03,Tokyo Stadium
  korstanje nyls  ,  Netherlands  ,Swimming,F,31,2001-08-17,2021-08-08,Tokyo Stadium
KORTE ANNIMARI,finland,Athletics,F,28,1999-07-31,2021-08-07,Musashino Forest
KORZENIOWSKI PAWEL,  Poland  ,Swimming,F,34,1992-06-09,2021-07-25,Ariake Arena
KOS HUBERT,hungary,Swimming,F,19,1988-01-03,2021-07-26,Ariake Arena
KOSETSKAYA EVGENIYA,  ROC  ,Badminton,M,27,2005-12-19,2021-08-01,Musashino Forest
KOSGEI BRIGID,  Kenya  ,Athletics,M,31,1997-01-26,2021-07-27,Tokyo Stadium
  kosonen silja  ,  Finland  ,Athletics,F,26,1985-08-15,2021-07-25,Olympic Aquatics Centre
  kostadinova antoaneta  ,bulgaria,Shooting,M,19,1988-01-24,2021-07-24,Tokyo Stadium
  kostelecky david  ,  Czech Republic  ,Shooting,F,20,1991-12-11,2021-08-01,Ariake Arena
  kosterina tatyana  ,roc,Equestrian,M,30,1995-03-27,2021-08-05,Olympic Aquatics Centre
KOSTEVYCH OLENA,  Ukraine  ,Shooting,M,26,1996-08-12,2021-07-25,Ariake Arena
KOTSOIEV ZELYM,azerbaijan,Judo,F,32,1989-09-30,2021-07-30,Tokyo Stadium
KOU LEI,  Ukraine  ,Table Tennis,M,28,2003-05-16,2021-07-23,Tokyo Stadium
KOUAME CHRISTIAN,  Côte d'Ivoire  ,Football,M,23,1993-12-07,2021-08-01,Olympic Aquatics Centre
KOUAO KOFFI,  Côte d'Ivoire  ,Football,M,23,1989-11-20,2021-07-29,Ariake Arena
KOUASSI EBOUE,côte d'ivoire,Football,M,25,2000-12-21,2021-08-02,Tokyo Stadium
  koudinov mikhail  ,new zealand,Artistic Gymnastics,F,30,1985-01-08,2021-08-01,Olympic Aquatics Centre
  kouma sebastien  ,  Mali  ,Swimming,F,29,1994-08-15,2021-08-06,Tokyo Stadium
KOUMI EL NOUR SADAM SULIMAN,  Sudan  ,Athletics,M,26,1993-10-29,2021-08-03,Olympic Aquatics Centre
KOUNTA MUHAMMAD,france,Athletics,M,22,2003-06-01,2021-08-05,Tokyo Stadium
KOUTSOYANOPULOS GIULIA,  Italy  ,Baseball/Softball,M,20,1999-10-11,2021-07-28,Olympic Aquatics Centre
  kovacocy marian  ,  Slovakia  ,Shooting,F,23,1998-12-05,2021-07-23,Olympic Aquatics Centre
KOVACS BARBARA,  Hungary  ,Athletics,F,20,2003-05-24,2021-08-02,Olympic Aquatics Centre
KOVACS JOE,united states of america,Athletics,F,34,2000-05-13,2021-07-31,Olympic Aquatics Centre
KOVACS SAROLTA,  Hungary  ,Modern Pentathlon,M,25,1989-09-18,2021-08-03,Ariake Arena
  kovacs zsofia  ,  Hungary  ,Artistic Gymnastics,M,27,2000-01-02,2021-08-08,Tokyo Stadium
KOVACS ZSOFIA,  Hungary  ,Triathlon,M,26,2000-07-06,2021-07-23,Musashino Forest
KOVACSICS ANIKO,hungary,Handball,M,30,2005-11-26,2021-07-23,Musashino Forest
KOVALENKO NAZAR,ukraine,Athletics,M,29,1996-12-31,2021-07-30,Ariake Arena
KOVALOV STANISLAV,ukraine,Rowing,M,30,1987-08-06,2021-07-30,Tokyo Stadium
KOVTUN ILLIA,ukraine,Artistic Gymnastics,F,30,2000-04-10,2021-08-05,Ariake Arena
  kowalczuk aleksandra  ,poland,Taekwondo,M,33,1995-01-09,2021-07-29,Olympic Aquatics Centre
  kowalczyk julia  ,poland,Judo,F,28,1994-01-31,2021-08-06,Musashino Forest
KOWALSKI JERZY,  Poland  ,Rowing,F,29,1989-04-16,2021-07-28,Musashino Forest
KOWALUK DARIUSZ,  Poland  ,Athletics,F,24,2001-12-09,2021-07-29,Tokyo Stadium
  kowplos katarina rose  ,  Australia  ,Shooting,F,33,2004-08-11,2021-08-04,Ariake Arena
KOZAK DANUTA,  Hungary  ,Canoe Sprint,M,31,2004-09-17,2021-07-29,Ariake Arena
  kozak luca  ,  Hungary  ,Athletics,M,23,1997-07-19,2021-08-04,Olympic Aquatics Centre
  kozeniesky lucas  ,  United States of America  ,Shooting,M,30,1987-01-19,2021-08-03,Musashino Forest
KOZIK YULIA,  ROC  ,3x3 Basketball,M,24,1992-04-04,2021-07-23,Ariake Arena
  kozma dominik  ,hungary,Swimming,M,20,1987-12-14,2021-07-23,Ariake Arena
  kozorog alja  ,  Slovenia  ,Canoe Slalom,M,24,2005-11-09,2021-08-04,Musashino Forest
KOZUBEK MATEJ,  Czech Republic  ,Marathon Swimming,M,33,2003-09-10,2021-08-08,Musashino Forest
  kozuch margareta  ,germany,Beach Volleyball,F,24,1985-11-20,2021-08-02,Tokyo Stadium
  kozuka miki  ,japan,Hockey,F,28,1989-12-30,2021-07-25,Musashino Forest
KOZUL DENI,  Slovenia  ,Table Tennis,M,34,1992-02-07,2021-07-26,Musashino Forest
KOZYREV SERGEI,roc,Wrestling,F,34,1993-11-23,2021-07-23,Olympic Aquatics Centre
KRAFZIK CAROLINA,  Germany  ,Athletics,F,20,2000-09-28,2021-07-28,Ariake Arena
KRAJEWSKI JULIA,  Germany  ,Equestrian,M,22,1989-08-09,2021-07-31,Olympic Aquatics Centre
  krajisnik tina  ,  Serbia  ,Basketball,M,19,1997-04-24,2021-07-23,Musashino Forest
  kraljev milka  ,  Argentina  ,Rowing,M,31,2000-01-13,2021-08-03,Musashino Forest
KRAMARENKO YANA,  Israel  ,Rhythmic Gymnastics,F,28,2003-01-25,2021-07-29,Musashino Forest
  kramer andreas  ,  Sweden  ,Athletics,M,28,2005-04-05,2021-08-01,Ariake Arena
  kramer mathilde u.  ,denmark,Athletics,F,22,2004-11-11,2021-08-06,Olympic Aquatics Centre
KRAMPL MIA,  Slovenia  ,Sport Climbing,F,28,1986-06-26,2021-07-28,Ariake Arena
  krasilnikov viacheslav  ,  ROC  ,Beach Volleyball,F,23,1988-02-18,2021-07-27,Ariake Arena
KRASNIQI DISTRIA,  Kosovo  ,Judo,F,27,1991-04-10,2021-07-30,Olympic Aquatics Centre
KRASTEVA STOYKA ZHELYAZKOVA,bulgaria,Boxing,M,24,1993-05-25,2021-07-27,Ariake Arena
KRAUSE GESA FELICITAS,  Germany  ,Athletics,F,34,2005-12-23,2021-07-23,Tokyo Stadium
KRAUSZ GERGELY,  Hungary  ,Badminton,M,22,2005-11-16,2021-08-03,Musashino Forest
